iter	Passed	Remaining
0	210	20822
1	224	10994
2	232	7528
3	241	5798
4	250	4754
5	258	4049
6	266	3546
7	275	3169
8	284	2873
9	292	2635
10	301	2437
11	309	2271
12	318	2128
13	326	2005
14	335	1899
15	343	1804
16	352	1718
17	360	1641
18	368	1572
19	377	1509
20	385	1451
21	394	1397
22	402	1348
23	410	1301
24	419	1258
25	428	1219
26	437	1183
27	446	1147
28	454	1113
29	463	1080
30	472	1050
31	480	1020
32	488	992
33	497	965
34	505	938
35	513	913
36	522	889
37	531	866
38	539	844
39	548	822
40	557	802
41	566	781
42	574	761
43	583	742
44	591	723
45	600	704
46	608	686
47	617	668
48	625	651
49	634	634
50	642	617
51	650	600
52	658	584
53	667	568
54	675	552
55	683	537
56	692	522
57	700	507
58	708	492
59	717	478
60	725	463
61	733	449
62	741	435
63	750	421
64	758	408
65	766	394
66	775	381
67	783	368
68	791	355
69	800	342
70	808	330
71	816	317
72	825	305
73	833	292
74	841	280
75	849	268
76	858	256
77	866	244
78	875	232
79	883	220
80	891	209
81	899	197
82	908	186
83	916	174
84	924	163
85	933	151
86	941	140
87	949	129
88	958	118
89	966	107
90	975	96
91	983	85
92	991	74
93	1000	63
94	1008	53
95	1016	42
96	1025	31
97	1033	21
98	1041	10
99	1050	0
